study_accession,sample_accession,submission_date,source,organism,strain,age,Strain,Age,sex,cell type,Sex
GSE16035,GSM401327,2009,"Murine primary cortical neurons, NMDA, 5h",Mus musculus,Swiss Albino,Gestation day 15-16,,,,,
GSE16035,GSM401328,2009,"Murine primary cortical neurons, NMDA, 5h",Mus musculus,Swiss Albino,Gestation day 15-16,,,,,
GSE16035,GSM401329,2009,"Murine primary cortical neurons, NMDA, 5h",Mus musculus,Swiss Albino,Gestation day 15-16,,,,,
GSE16035,GSM401330,2009,"Murine primary cortical neurons, NMDA, 15h",Mus musculus,Swiss Albino,Gestation day 15-16,,,,,
GSE16035,GSM401331,2009,"Murine primary cortical neurons, NMDA, 15h",Mus musculus,Swiss Albino,Gestation day 15-16,,,,,
GSE16035,GSM401332,2009,"Murine primary cortical neurons, NMDA, 15h",Mus musculus,Swiss Albino,Gestation day 15-16,,,,,
GSE16035,GSM401333,2009,"Murine primary cortical neurons, NMDA, 24h",Mus musculus,Swiss Albino,Gestation day 15-16,,,,,
GSE16035,GSM401334,2009,"Murine primary cortical neurons, NMDA, 24h",Mus musculus,Swiss Albino,Gestation day 15-16,,,,,
GSE16035,GSM401335,2009,"Murine primary cortical neurons, NMDA, 24h",Mus musculus,Swiss Albino,Gestation day 15-16,,,,,
GSE17989,GSM310386,2008,C57BL/6 WT spleen CD8 alpha minus dendritic cells,Mus musculus,,,C57BL/6,10 weeks,,,
GSE17989,GSM310388,2008,C57BL/6 WT spleen CD8 alpha plus dendritic cells,Mus musculus,,,C57BL/6,10 weeks,,,
GSE17989,GSM310390,2008,C57BL/6 WT spleen CD8 alpha minus dendritic cells,Mus musculus,,,C57BL/6,10 weeks,,,
GSE17989,GSM310391,2008,C57BL/6 WT spleen CD8 alpha plus dendritic cells,Mus musculus,,,C57BL/6,10 weeks,,,
GSE17989,GSM450329,2009,C57BL/6 RAG ko spleen CD8 alpha plus dendritic cells,Mus musculus,C57BL/6,10 weeks,,,,,
GSE17989,GSM450330,2009,C57BL/6 RAG ko spleen CD8 alpha minus dendritic cells,Mus musculus,C57BL/6,10 weeks,,,,,
GSE17989,GSM450331,2009,C57BL/6 RAG ko spleen CD8 alpha plus dendritic cells,Mus musculus,C57BL/6,10 weeks,,,,,
GSE17989,GSM450332,2009,C57BL/6 RAG ko spleen CD8 alpha minus dendritic cells,Mus musculus,C57BL/6,10 weeks,,,,,
GSE22087,GSM549080,2010,Murine primary cortical neurons,Mus musculus,Swiss Albino mice,Gestation day 15-16,,,,,
GSE22087,GSM549081,2010,Murine primary cortical neurons,Mus musculus,Swiss Albino mice,Gestation day 15-16,,,,,
GSE22087,GSM549082,2010,Murine primary cortical neurons,Mus musculus,Swiss Albino mice,Gestation day 15-16,,,,,
GSE22087,GSM549083,2010,Murine primary cortical neurons,Mus musculus,Swiss Albino mice,Gestation day 15-16,,,,,
GSE22087,GSM549084,2010,Murine primary cortical neurons,Mus musculus,Swiss Albino mice,Gestation day 15-16,,,,,
GSE22087,GSM549085,2010,Murine primary cortical neurons,Mus musculus,Swiss Albino mice,Gestation day 15-16,,,,,
GSE22087,GSM549086,2010,Murine primary cortical neurons,Mus musculus,Swiss Albino mice,Gestation day 15-16,,,,,
GSE22087,GSM549087,2010,Murine primary cortical neurons,Mus musculus,Swiss Albino mice,Gestation day 15-16,,,,,
GSE22087,GSM549088,2010,Murine primary cortical neurons,Mus musculus,Swiss Albino mice,Gestation day 15-16,,,,,
GSE22087,GSM549089,2010,Murine primary cortical neurons,Mus musculus,Swiss Albino mice,Gestation day 15-16,,,,,
GSE22087,GSM549090,2010,Murine primary cortical neurons,Mus musculus,Swiss Albino mice,Gestation day 15-16,,,,,
GSE22087,GSM549091,2010,Murine primary cortical neurons,Mus musculus,Swiss Albino mice,Gestation day 15-16,,,,,
GSE22087,GSM549092,2010,Murine primary cortical neurons,Mus musculus,Swiss Albino mice,Gestation day 15-16,,,,,
GSE22087,GSM549093,2010,Murine primary cortical neurons,Mus musculus,Swiss Albino mice,Gestation day 15-16,,,,,
GSE22922,GSM565980,2010,Splenocyte 2month WT Biologic Replicate 1,Mus musculus,C57/BL6,2 months,,,Male,splenocyte,
GSE22922,GSM565981,2010,Splenocytes 2 months transgenic biologic replicate 1,Mus musculus,C57/BL6,2 months,,,Male,splenocyte,
GSE22922,GSM566100,2010,Splenocyte 12month WT Biologic Replicate 1,Mus musculus,C57/BL6,12 months,,,Male,splenocyte,
GSE22922,GSM566101,2010,Splenocyte 12month TG Biologic Replicate 1,Mus musculus,C57/BL6,12 months,,,Male,splenocyte,
GSE22922,GSM566103,2010,Splenocyte 2month WT Biologic Replicate 2,Mus musculus,C57/BL6,2 months,,,Male,splenocyte,
GSE22922,GSM566105,2010,Splenocyte 2month TG Biologic Replicate 2,Mus musculus,C57/BL6,2 months,,,Male,splenocyte,
GSE22922,GSM566106,2010,Splenocyte 12month WT Biologic Replicate 2,Mus musculus,C57/BL6,12 months,,,Male,splenocyte,
GSE22922,GSM566108,2010,Splenocyte 12month TG Biologic Replicate 2,Mus musculus,C57/BL6,12 months,,,Male,splenocyte,
GSE23101,GSM569325,2010,Mouse heart treated with standard chow_1,Mus musculus,C57BL/6J,,,,,,
GSE23101,GSM569326,2010,Mouse heart treated with standard chow_2,Mus musculus,C57BL/6J,,,,,,
GSE23101,GSM569327,2010,Mouse heart treated with standard chow_3,Mus musculus,C57BL/6J,,,,,,
GSE23101,GSM569328,2010,Mouse heart treated with standard chow_4,Mus musculus,C57BL/6J,,,,,,
GSE23101,GSM569329,2010,Mouse heart treated with pitavastatin_1,Mus musculus,C57BL/6J,,,,,,
GSE23101,GSM569330,2010,Mouse heart treated with pitavastatin_2,Mus musculus,C57BL/6J,,,,,,
GSE23101,GSM569331,2010,Mouse heart treated with pitavastatin_3,Mus musculus,C57BL/6J,,,,,,
GSE23101,GSM569332,2010,Mouse heart treated with pitavastatin_4,Mus musculus,C57BL/6J,,,,,,
GSE23101,GSM569333,2010,Mouse heart treated with pravastatin_1,Mus musculus,C57BL/6J,,,,,,
GSE23101,GSM569334,2010,Mouse heart treated with pravastatin_2,Mus musculus,C57BL/6J,,,,,,
GSE23101,GSM569335,2010,Mouse heart treated with pravastatin_3,Mus musculus,C57BL/6J,,,,,,
GSE23101,GSM569336,2010,Mouse heart treated with pravastatin_4,Mus musculus,C57BL/6J,,,,,,
GSE23101,GSM569337,2010,Mouse heart treated with rosuvastatin_1,Mus musculus,C57BL/6J,,,,,,
GSE23101,GSM569338,2010,Mouse heart treated with rosuvastatin_2,Mus musculus,C57BL/6J,,,,,,
GSE23101,GSM569339,2010,Mouse heart treated with rosuvastatin_3,Mus musculus,C57BL/6J,,,,,,
GSE23101,GSM569340,2010,Mouse heart treated with rosuvastatin_4,Mus musculus,C57BL/6J,,,,,,
GSE23101,GSM569341,2010,Mouse heart treated with atorvastatin_1,Mus musculus,C57BL/6J,,,,,,
GSE23101,GSM569342,2010,Mouse heart treated with atorvastatin_2,Mus musculus,C57BL/6J,,,,,,
GSE23101,GSM569343,2010,Mouse heart treated with atorvastatin_3,Mus musculus,C57BL/6J,,,,,,
GSE23101,GSM569344,2010,Mouse heart treated with atorvastatin_4,Mus musculus,C57BL/6J,,,,,,
GSE23435,GSM575195,2010,Mus musculus,Mus musculus,,,,,,,
GSE23435,GSM575196,2010,Mus musculus,Mus musculus,,,,,,,
GSE23435,GSM575197,2010,Mus musculus,Mus musculus,,,,,,,
GSE23435,GSM575198,2010,Mus musculus,Mus musculus,,,,,,,
GSE23435,GSM575199,2010,Mus musculus,Mus musculus,,,,,,,
GSE23435,GSM575200,2010,Mus musculus,Mus musculus,,,,,,,
GSE23435,GSM575201,2010,Mus musculus,Mus musculus,,,,,,,
GSE23435,GSM575202,2010,Mus musculus,Mus musculus,,,,,,,
GSE23550,GSM577701,2010,Liver tissue,Mus musculus,C57BL/6,,,,,,
GSE23550,GSM577702,2010,Liver tissue,Mus musculus,C57BL/6,,,,,,
GSE23550,GSM577703,2010,Liver tissue,Mus musculus,C57BL/6,,,,,,
GSE23550,GSM577704,2010,Liver tissue,Mus musculus,C57BL/6,,,,,,
GSE23550,GSM577705,2010,Liver tissue,Mus musculus,C57BL/6,,,,,,
GSE23550,GSM577706,2010,Liver tissue,Mus musculus,C57BL/6,,,,,,
GSE23550,GSM577707,2010,Liver tissue,Mus musculus,C57BL/6,,,,,,
GSE23550,GSM577708,2010,Liver tissue,Mus musculus,C57BL/6,,,,,,
GSE23550,GSM577709,2010,Liver tissue,Mus musculus,C57BL/6,,,,,,
GSE23550,GSM577710,2010,Liver tissue,Mus musculus,C57BL/6,,,,,,
GSE23550,GSM577711,2010,Liver tissue,Mus musculus,C57BL/6,,,,,,
GSE23550,GSM577712,2010,Liver tissue,Mus musculus,C57BL/6,,,,,,
GSE23550,GSM577713,2010,Liver tissue,Mus musculus,C57BL/6,,,,,,
GSE23550,GSM577714,2010,Liver tissue,Mus musculus,C57BL/6,,,,,,
GSE23550,GSM577715,2010,Liver tissue,Mus musculus,C57BL/6,,,,,,
GSE23550,GSM577716,2010,Liver tissue,Mus musculus,C57BL/6,,,,,,
GSE23728,GSM367512,2009,"prefrontal cortex, control group, saline",Rattus norvegicus,,,,,,,
GSE23728,GSM367518,2009,"prefrontal cortex, control group, saline",Rattus norvegicus,,,,,,,
GSE23728,GSM367526,2009,"prefrontal cortex, control group, saline",Rattus norvegicus,,,,,,,
GSE23728,GSM367529,2009,"prefrontal cortex, control group, DOI",Rattus norvegicus,,,,,,,
GSE23728,GSM367533,2009,"prefrontal cortex, control group, DOI",Rattus norvegicus,,,,,,,
GSE23728,GSM367537,2009,"prefrontal cortex, control group, DOI",Rattus norvegicus,,,,,,,
GSE23728,GSM367543,2009,"prefrontal cortex, control group, DOI",Rattus norvegicus,,,,,,,
GSE23728,GSM367722,2009,"prefrontal cortex, MS group, saline",Rattus norvegicus,,,,,,,
GSE23728,GSM367723,2009,"prefrontal cortex, MS group, saline",Rattus norvegicus,,,,,,,
GSE23728,GSM367727,2009,"prefrontal cortex, MS group, saline",Rattus norvegicus,,,,,,,
GSE23728,GSM367730,2009,"prefrontal cortex, MS group, saline",Rattus norvegicus,,,,,,,
GSE23728,GSM367734,2009,"prefrontal cortex, MS group, DOI",Rattus norvegicus,,,,,,,
GSE23728,GSM367735,2009,"prefrontal cortex, MS group, DOI",Rattus norvegicus,,,,,,,
GSE23728,GSM367743,2009,"prefrontal cortex, MS group, DOI",Rattus norvegicus,,,,,,,
GSE23728,GSM367746,2009,"prefrontal cortex, MS group, DOI",Rattus norvegicus,,,,,,,
GSE24346,GSM1022834,2012,"mouse C2C12 cells, scramble shRNA control",Mus musculus,,,,,,myoblasts,
GSE24346,GSM1022835,2012,"mouse C2C12 cells, scramble shRNA control",Mus musculus,,,,,,myoblasts,
GSE24346,GSM1022836,2012,"mouse C2C12 cells, shSFMBT1",Mus musculus,,,,,,myoblasts,
GSE24346,GSM1022837,2012,"mouse C2C12 cells, shSFMBT1",Mus musculus,,,,,,myoblasts,
GSE25105,GSM616971,2010,mammary epithelial cells,Mus musculus,CD-1,,,,,mammary epithelial cell,
GSE25105,GSM616974,2010,liver,Mus musculus,CD-1,,,,,,
GSE25105,GSM616976,2010,liver,Mus musculus,CD-1,,,,,,
GSE25105,GSM616979,2010,liver,Mus musculus,CD-1,,,,,,
GSE25105,GSM616981,2010,liver,Mus musculus,CD-1,,,,,,
GSE25105,GSM616983,2010,mammary gland,Mus musculus,CD-1,,,,,,
GSE25105,GSM616985,2010,mammary gland,Mus musculus,CD-1,,,,,,
GSE25105,GSM616988,2010,mammary gland,Mus musculus,CD-1,,,,,,
GSE25105,GSM616991,2010,mammary gland,Mus musculus,CD-1,,,,,,
GSE25105,GSM616993,2010,mammary epithelial cells,Mus musculus,CD-1,,,,,mammary epithelial cell,
GSE25498,GSM626957,2010,"MEF cells, negative control siRNA transfeceted, replicate 1",Mus musculus,C57BL/6,,,,,Wild type primary mouse embryonic fibroblasts,
GSE25498,GSM626958,2010,"MEF cells, Exportin-5 siRNA transfeceted, replicate 1",Mus musculus,C57BL/6,,,,,Wild type primary mouse embryonic fibroblasts,
GSE25498,GSM626959,2010,"MEF cells, negative control siRNA transfeceted, replicate 2",Mus musculus,C57BL/6,,,,,Wild type primary mouse embryonic fibroblasts,
GSE25498,GSM626960,2010,"MEF cells, Exportin-5 siRNA transfeceted, replicate 2",Mus musculus,C57BL/6,,,,,Wild type primary mouse embryonic fibroblasts,
GSE26532,GSM652298,2011,primary rat microglia incubated with LZCM for 6 hours,Rattus norvegicus,,,,,,primary rat microglia,
GSE26532,GSM652299,2011,primary rat microglia incubated with LZCM for 6 hours,Rattus norvegicus,,,,,,primary rat microglia,
GSE26532,GSM652300,2011,primary rat microglia incubated with LZCM for 6 hours,Rattus norvegicus,,,,,,primary rat microglia,
GSE26532,GSM652301,2011,primary rat microglia incubated with aSCM for 6 hours,Rattus norvegicus,,,,,,primary rat microglia,
GSE26532,GSM652302,2011,primary rat microglia incubated with aSCM for 6 hours,Rattus norvegicus,,,,,,primary rat microglia,
GSE26532,GSM652303,2011,primary rat microglia incubated with aSCM for 6 hours,Rattus norvegicus,,,,,,primary rat microglia,
GSE26532,GSM652304,2011,primary rat microglia incubated with LZCM for 24 hours,Rattus norvegicus,,,,,,primary rat microglia,
GSE26532,GSM652305,2011,primary rat microglia incubated with LZCM for 24 hours,Rattus norvegicus,,,,,,primary rat microglia,
GSE26532,GSM652306,2011,primary rat microglia incubated with LZCM for 24 hours,Rattus norvegicus,,,,,,primary rat microglia,
GSE26532,GSM652307,2011,primary rat microglia incubated with aSCM for 24 hours,Rattus norvegicus,,,,,,primary rat microglia,
GSE26532,GSM652308,2011,primary rat microglia incubated with aSCM for 24 hours,Rattus norvegicus,,,,,,primary rat microglia,
GSE26532,GSM652309,2011,primary rat microglia incubated with aSCM for 24 hours,Rattus norvegicus,,,,,,primary rat microglia,
GSE26600,GSM654777,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654778,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654779,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654780,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654781,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654782,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654783,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654784,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654785,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654786,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654787,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654788,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654789,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654790,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654791,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654792,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654793,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654794,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654795,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654796,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654797,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654798,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654799,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654800,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654801,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654802,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654803,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654804,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654805,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654806,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654807,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654808,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654809,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654810,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654811,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654812,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654813,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654814,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654815,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654816,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654817,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654818,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654819,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654820,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654821,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654822,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654823,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654824,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654825,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654826,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654827,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654828,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654829,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654830,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654831,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654832,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654833,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654834,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654835,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654836,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654837,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654838,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654839,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654840,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654841,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654842,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654843,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654844,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654845,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654846,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654847,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654848,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654849,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654850,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654851,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654852,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654853,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654854,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654855,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654856,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654857,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654858,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654859,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654860,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654861,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654862,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654863,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654864,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654865,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654866,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654867,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654868,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654869,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26600,GSM654870,2011,Mouse brains,Mus musculus,C57BL6,Eleven-week-old,,,,,
GSE26640,GSM655850,2011,NIH 3T3 cells stably expressing pLKO.1 (control vector) stimulated with serum,Mus musculus,,,,,,,
GSE26640,GSM655851,2011,NIH 3T3 cells stably expressing pLKO.1 (control vector) stimulated with serum,Mus musculus,,,,,,,
GSE26640,GSM655852,2011,NIH 3T3 cells stably expressing pLKO.1 (control vector) stimulated with serum,Mus musculus,,,,,,,
GSE26640,GSM655853,2011,NIH 3T3 cells stably expressing Net shRNA stimulated with serum,Mus musculus,,,,,,,
GSE26640,GSM655854,2011,NIH 3T3 cells stably expressing Net shRNA stimulated with serum,Mus musculus,,,,,,,
GSE26640,GSM655855,2011,NIH 3T3 cells stably expressing Net shRNA stimulated with serum,Mus musculus,,,,,,,
GSE26640,GSM655856,2011,NIH 3T3 cells stably expressing Sap-1 shRNA stimulated with serum,Mus musculus,,,,,,,
GSE26640,GSM655857,2011,NIH 3T3 cells stably expressing Sap-1 shRNA stimulated with serum,Mus musculus,,,,,,,
GSE26640,GSM655858,2011,NIH 3T3 cells stably expressing Sap-1 shRNA stimulated with serum,Mus musculus,,,,,,,
GSE26749,GSM658321,2011,Cerebellum of 8-week-old C57BL/6J male,Mus musculus,C57BL/6J,8-week-old,,,,cerebellar Purkinje cells,
GSE26749,GSM658322,2011,Cerebellum of 8-week-old C57BL/6J male,Mus musculus,C57BL/6J,8-week-old,,,,cerebellar Purkinje cells,
GSE26749,GSM658323,2011,Cerebellum of 8-week-old C57BL/6J male,Mus musculus,C57BL/6J,8-week-old,,,,cerebellar Purkinje cells,
GSE26749,GSM658324,2011,Cerebellum of 8-week-old C57BL/6J male,Mus musculus,C57BL/6J,8-week-old,,,,cerebellar Purkinje cells,
GSE26750,GSM658325,2011,Cerebellum of 8-week-old C57BL/6J male,Mus musculus,C57BL/6J,8-week-old,,,,cerebellar granule cell layer,
GSE26750,GSM658326,2011,Cerebellum of 8-week-old C57BL/6J male,Mus musculus,C57BL/6J,8-week-old,,,,cerebellar granule cell layer,
GSE26751,GSM658321,2011,Cerebellum of 8-week-old C57BL/6J male,Mus musculus,C57BL/6J,8-week-old,,,,cerebellar Purkinje cells,
GSE26751,GSM658322,2011,Cerebellum of 8-week-old C57BL/6J male,Mus musculus,C57BL/6J,8-week-old,,,,cerebellar Purkinje cells,
GSE26751,GSM658323,2011,Cerebellum of 8-week-old C57BL/6J male,Mus musculus,C57BL/6J,8-week-old,,,,cerebellar Purkinje cells,
GSE26751,GSM658324,2011,Cerebellum of 8-week-old C57BL/6J male,Mus musculus,C57BL/6J,8-week-old,,,,cerebellar Purkinje cells,
